Field of Study,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Dimension 5,Impression Control,Bahasa Melayu,Bahasa Inggeris,Mathematics,Sejarah,Science,Pendidikan Islam/Pendidikan Moral,Additional Mathematics,Physics,Chemistry,Biology,Computer Science,Prinsip Perakaunan,Ekonomi,Perniagaan,Geography,Sains Sukan,Pendidikan Seni Visual
IT/Computer science,1,0,1,1,0,3,2,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
Arts and design,1,0,1,1,1,2,1,2,1,2,0,1,5,3,5,5,0,0,0,0,0,0,0
IT/Computer science,1,0,1,1,1,5,2,1,1,2,0,1,1,1,1,2,0,0,0,0,0,0,0
IT/Computer science,1,0,0,1,0,2,1,1,1,1,0,1,2,2,2,2,0,0,0,0,0,0,0
Engineering and engineering trades,0,0,0,1,0,4,1,1,1,1,0,1,1,2,2,3,0,0,0,0,0,0,0
IT/Computer science,1,0,0,1,0,3,1,1,1,1,0,1,2,1,2,2,0,0,0,0,0,0,0
IT/Computer science,0,1,1,1,0,2,2,1,1,2,0,2,2,2,2,0,1,0,0,0,0,0,0
IT/Computer science,0,1,0,1,0,2,2,3,2,1,1,1,3,0,0,0,0,0,0,2,0,0,0
Education,1,1,0,1,0,6,2,1,1,2,0,2,5,3,3,4,0,0,0,0,0,0,0
Accounting and finance,1,0,0,1,1,3,1,1,1,2,0,1,0,4,0,5,0,0,0,0,0,0,0
Accounting and finance,1,1,0,1,0,2,1,2,1,3,0,1,2,3,2,2,0,0,0,0,0,0,0
Medicine,1,1,0,1,0,4,1,1,1,1,0,1,2,1,1,1,0,0,0,0,0,0,0
IT/Computer science,1,1,1,1,0,6,3,2,3,2,3,2,3,0,0,0,0,2,3,0,0,0,0
IT/Computer science,0,1,1,0,0,3,1,1,1,1,0,1,3,1,2,0,1,0,0,0,0,0,0
Health sciences,1,1,0,1,0,1,1,2,1,1,1,1,2,3,1,1,0,0,0,0,0,0,0
Biotechnology,0,0,0,1,0,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"Agriculture, forestry, fishery, and veterinary",1,1,0,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Business Admin,0,0,0,0,0,1,1,1,1,1,0,2,1,1,1,2,0,0,0,0,0,0,0
IT/Computer science,1,0,0,0,0,1,1,1,1,3,0,1,1,1,3,3,0,0,0,0,0,0,0
Engineering and engineering trades,1,0,0,1,0,0,1,1,1,1,0,1,2,2,1,3,0,0,0,0,0,0,0
Engineering and engineering trades,1,0,0,1,0,0,1,2,3,2,2,2,0,0,0,0,0,0,0,1,0,0,0
IT/Computer science,1,1,0,1,0,5,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
Health sciences,1,1,0,1,0,0,1,1,2,1,0,1,3,2,3,1,0,1,0,0,0,0,0
Humanities,1,1,1,1,0,3,1,1,1,1,0,2,3,1,2,0,1,0,0,0,0,0,0
IT/Computer science,1,0,0,1,0,2,2,4,2,3,1,1,5,0,0,0,2,0,4,0,0,0,0
Engineering and engineering trades,1,0,0,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemistry,1,1,0,1,0,4,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
